general_election_year,constituency_name,by_election_date,incumbent_mp_name,incumbent_elected_party_name,incumbent_final_party_name,winner_mp_name,winner_party_name,cause,cause_category,governing_outcome
1975,Newcastle Upon Tyne Central,1976-11-04,Edward Short,Labour,Labour,Harry Cowans,Labour,New career as chairman of Cable & Wireless,Resignation,Government Defence
1975,Walsall North,1976-11-04,John Stonehouse,Labour,Independent,Robin Hodgson,Conservative,Resignation (convicted of insurance fraud),Resignation,Opposition Gain
1975,Cambridge,1976-12-02,David Lane,Conservative,Conservative,Robert Rhodes James,Conservative,New career as chairman for the Commission for Racial Equality,Resignation,Opposition Defence
1975,City of London and Westminster South,1977-02-24,Christopher Tugendhat,Conservative,Conservative,Peter Brooke,Conservative,European Commissioner,Appointment,Opposition Defence
1975,Birmingham Stechford,1977-03-31,Roy Jenkins,Labour,Labour,Andrew MacKay,Conservative,President of the European Commission,Appointment,Opposition Gain
1975,Grimsby,1977-04-28,David Marquand,Labour,Labour,Tim Smith,Conservative,New career as Chief of Staff to Roy Jenkins,Resignation,Opposition Gain
1975,Ashfield,1977-04-28,Anthony Crosland,Labour,Labour,Austin Mitchell,Labour,Death,Death,Government Defence
1975,Saffron Walden,1977-07-07,Sir Peter Kirk,Conservative,Conservative,Alan Haselhurst,Conservative,Death,Death,Opposition Defence
1975,Birmingham Ladywood,1977-08-18,Brian Walden,Labour,Labour,John Sever,Labour,Appointment as presenter of LWT programme Weekend World,Resignation,Government Defence
1975,Bournemouth East,1977-11-24,John Cordle,Conservative,Conservative,David Atkinson,Conservative,Resignation: found in contempt of the House,Resignation,Opposition Defence
1975,Ilford North,1978-03-02,Millie Miller,Labour,Labour,Vivian Bendall,Conservative,Death,Death,Opposition Gain
1975,Glasgow Garscadden,1978-04-13,William Small,Labour,Labour,Donald Dewar,Labour,Death,Death,Government Defence
1975,Lambeth Central,1978-04-20,Marcus Lipton,Labour,Labour,John Tilley,Labour,Death,Death,Government Defence
1975,Epsom and Ewell,1978-04-27,Peter Rawlinson,Conservative,Conservative,Archie Hamilton,Conservative,Life peerage,Peerage,Opposition Defence
1975,Wycombe,1978-04-27,Sir John Hall,Conservative,Conservative,Ray Whitney,Conservative,Death,Death,Opposition Defence
1975,Hamilton,1978-05-31,Alexander Wilson,Labour,Labour,George Robertson,Labour,Death,Death,Government Defence
1975,Manchester Moss Side,1978-07-13,Frank Hatton,Labour,Labour,George Morton,Labour,Death,Death,Government Defence
1975,Penistone,1978-07-13,John Mendelson,Labour,Labour,Allen McKay,Labour,Death,Death,Government Defence
1975,Pontefract and Castleford,1978-10-26,Joe Harper,Labour,Labour,Geoffrey Lofthouse,Labour,Death,Death,Government Defence
1975,Berwick and East Lothian,1978-10-26,John Mackintosh,Labour,Labour,John Home Robertson,Labour,Death,Death,Government Defence
1975,Clitheroe,1979-03-01,David Walder,Conservative,Conservative,David Waddington,Conservative,Death,Death,Opposition Defence
1975,Knutsford,1979-03-01,John Davies,Conservative,Conservative,Jock Bruce-Gardyne,Conservative,Resignation on medical advice,Resignation,Opposition Defence
1975,Liverpool Edge Hill,1979-03-29,Sir Arthur Irvine,Labour,Labour,David Alton,Liberal Democrats,Death,Death,Opposition Gain
1979,Manchester Central,1979-09-27,Harold Lever,Labour,Labour,Robert Litherland,Labour,Life peerage,Peerage,Opposition Defence
1979,Hertfordshire South West,1979-12-13,Geoffrey Dodsworth,Conservative,Conservative,Richard Page,Conservative,Resignation on medical advice,Resignation,Government Defence
1979,Southend East,1980-03-13,Sir Stephen McAdden,Conservative,Conservative,Teddy Taylor,Conservative,Death,Death,Government Defence
1979,Glasgow Central,1980-06-26,Thomas McMillan,Labour,Labour,Bob McTaggart,Labour,Death,Death,Opposition Defence
1979,Fermanagh and South Tyrone,1981-04-09,Frank Maguire,Independent,Independent,Bobby Sands,Independent,Death,Death,Opposition Defence
1979,Warrington,1981-07-16,Sir Thomas Williams,Labour,Labour,Douglas Hoyle,Labour,Appointment as High Court judge,Appointment,Opposition Defence
1979,Fermanagh and South Tyrone,1981-08-20,Bobby Sands,Independent,Independent,Owen Carron,Independent,Death (hunger strike),Death,Opposition Defence
1979,Croydon North West,1981-10-22,Robert Taylor,Conservative,Conservative,Bill Pitt,Liberal Democrats,Death,Death,Opposition Gain
1979,Crosby,1981-11-26,Sir Graham Page,Conservative,Conservative,Shirley Williams,Social Democratic Party,Death,Death,Opposition Gain
1979,Belfast South,1982-03-04,Robert Bradford,Ulster Unionist Party,Ulster Unionist Party,Martin Smyth,Ulster Unionist Party,Death (killed by IRA),Death,Opposition Defence
1979,Glasgow Hillhead,1982-03-25,Sir Thomas Galbraith,Conservative,Conservative,Roy Jenkins,Social Democratic Party,Death,Death,Opposition Gain
1979,Beaconsfield,1982-05-27,Sir Ronald Bell,Conservative,Conservative,Tim Smith,Conservative,Death,Death,Government Defence
1979,Mitcham and Morden,1982-06-03,Bruce Douglas-Mann,Labour,Independent,Angela Rumbold,Conservative,Sought re-election upon change of party allegiance,Reelection,Government Gain
1979,Coatbridge and Airdrie,1982-06-24,James Dempsey,Labour,Labour,Thomas Clarke,Labour,Death,Death,Opposition Defence
1979,Gower,1982-09-16,Ifor Davies,Labour,Labour,Gareth Wardell,Labour,Death,Death,Opposition Defence
1979,Birmingham Northfield,1982-10-28,Harry Lamborn,Labour,Labour,Harriet Harman,Labour,Death,Death,Opposition Defence
1979,Peckham,1982-10-28,Jocelyn Cadbury,Conservative,Conservative,John Spellar,Labour,Death (suicide),Death,Opposition Gain
1979,Glasgow Queen's Park,1982-12-02,Frank McElhone,Labour,Labour,Helen McElhone,Labour,Death,Death,Opposition Defence
1979,Bermondsey,1983-02-24,Robert Mellish,Labour,Independent,Simon Hughes,Liberal Democrats,Resignation (dispute with party),Resignation,Opposition Gain
1979,Darlington,1983-03-24,Edward Fletcher,Labour,Labour,Oswald O'Brien,Labour,Death,Death,Opposition Defence
1983,Penrith and The Border,1983-07-28,William Whitelaw,Conservative,Conservative,David Maclean,Conservative,Hereditary peerage on appointment as Leader of the House of Lords,Peerage,Government Defence
1983,Chesterfield,1984-03-01,Eric Varley,Labour,Labour,Tony Benn,Labour,Appointment as Chairman of Coalite PLC,Resignation,Opposition Defence
1983,Cynon Valley,1984-05-03,Ioan Evans,Labour,Labour,Ann Clwyd,Labour,Death,Death,Opposition Defence
1983,Stafford,1984-05-03,Sir Hugh Fraser,Conservative,Conservative,Bill Cash,Conservative,Death (lung cancer),Death,Government Defence
1983,Surrey South West,1984-05-03,Viscount Macmillan of Ovenden,Conservative,Conservative,Virginia Bottomley,Conservative,Death (heart failure),Death,Government Defence
1983,Portsmouth South,1984-06-14,Bonner Pink,Conservative,Conservative,Mike Hancock,Social Democratic Party,Death,Death,Opposition Gain
1983,Enfield Southgate,1984-12-13,Sir Anthony Berry,Conservative,Conservative,Michael Portillo,Conservative,Death (terrorism),Death,Government Defence
1983,Brecon and Radnor,1985-07-04,Tom Hooson,Conservative,Conservative,Richard Livsey,Liberal Democrats,Death (heart attack),Death,Opposition Gain
1983,Tyne Bridge,1985-12-05,Harry Cowans,Labour,Labour,David Clelland,Labour,Death,Death,Opposition Defence
1983,Upper Bann,1986-01-23,James Nicholson,Ulster Unionist Party,Ulster Unionist Party,Seamus Mallon,SDLP,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Gain
1983,Down North,1986-01-23,Enoch Powell,Ulster Unionist Party,Ulster Unionist Party,Enoch Powell,Ulster Unionist Party,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Antrim East,1986-01-23,Clifford Forsythe,Ulster Unionist Party,Ulster Unionist Party,Clifford Forsythe,Ulster Unionist Party,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Antrim North,1986-01-23,Roy Beggs,Ulster Unionist Party,Ulster Unionist Party,Roy Beggs,Ulster Unionist Party,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Antrim South,1986-01-23,Cecil Walker,Ulster Unionist Party,Ulster Unionist Party,Cecil Walker,Ulster Unionist Party,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Belfast East,1986-01-23,Martin Smyth,Ulster Unionist Party,Ulster Unionist Party,Martin Smyth,Ulster Unionist Party,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Belfast North,1986-01-23,Peter Robinson,DUP,DUP,Peter Robinson,DUP,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Strangford,1986-01-23,Ian Paisley,DUP,DUP,Ian Paisley,DUP,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Ulster Mid,1986-01-23,William McCrea,DUP,DUP,William McCrea,DUP,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Newry and Armagh,1986-01-23,John Taylor,Ulster Unionist Party,Ulster Unionist Party,John Taylor,Ulster Unionist Party,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Londonderry East,1986-01-23,William Ross,Ulster Unionist Party,Ulster Unionist Party,William Ross,Ulster Unionist Party,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Lagan Valley,1986-01-23,James Molyneaux,Ulster Unionist Party,Ulster Unionist Party,James Molyneaux,Ulster Unionist Party,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Fermanagh and South Tyrone,1986-01-23,Ken Maginnis,Ulster Unionist Party,Ulster Unionist Party,Ken Maginnis,Ulster Unionist Party,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Down South,1986-01-23,Harold McCusker,Ulster Unionist Party,Ulster Unionist Party,Harold McCusker,Ulster Unionist Party,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Belfast South,1986-01-23,James Kilfedder,UPUP,UPUP,James Kilfedder,UPUP,Sought re-election in opposition to the Anglo-Irish Agreement,Reelection,Opposition Defence
1983,Fulham,1986-04-10,Martin Stevens,Conservative,Conservative,Nick Raynsford,Labour,Death,Death,Opposition Gain
1983,Ryedale,1986-05-08,John Spence,Conservative,Conservative,Elizabeth Shields,Liberal Democrats,Death,Death,Opposition Gain
1983,Derbyshire West,1986-05-08,Matthew Parris,Conservative,Conservative,Patrick McLoughlin,Conservative,Appointment as presenter of LWT programme Weekend World,Resignation,Government Defence
1983,Newcastle-under-Lyme,1986-07-17,John Golding,Labour,Labour,Llin Golding,Labour,Appointment as General Secretary of the National Communications Union,Resignation,Opposition Defence
1983,Knowsley North,1986-11-13,Robert Kilroy-Silk,Labour,Labour,George Howarth,Labour,New BBC TV presenter career,Resignation,Opposition Defence
1983,Greenwich,1987-02-26,Guy Barnett,Labour,Labour,Rosie Barnes,Social Democratic Party,Death,Death,Opposition Gain
1983,Truro,1987-03-12,David Penhaligon,Liberal Democrats,Liberal Democrats,Matthew Taylor,Liberal Democrats,Death (road accident),Death,Opposition Defence
1987,Kensington,1988-07-14,"Sir Brandon Rhys Williams, Bt.",Conservative,Conservative,Dudley Fishburn,Conservative,Death (leukaemia),Death,Government Defence
1987,Glasgow Govan,1988-11-10,Bruce Millan,Labour,Labour,Jim Sillars,SNP,Appointment as European Commissioner,Appointment,Opposition Gain
1987,Epping Forest,1988-12-15,Sir John Biggs-Davison,Conservative,Conservative,Steven Norris,Conservative,Death,Death,Government Defence
1987,Richmond,1989-02-23,Leon Brittan,Conservative,Conservative,William Hague,Conservative,Appointment as European Commissioner,Appointment,Government Defence
1987,Pontypridd,1989-02-23,Brynmor John,Labour,Labour,Kim Howells,Labour,Death (chronic fatigue syndrome),Death,Opposition Defence
1987,Vale of Glamorgan,1989-05-04,Sir Raymond Gower,Conservative,Conservative,John Smith,Labour,Death,Death,Opposition Gain
1987,Vauxhall,1989-06-15,Stuart Holland,Labour,Labour,Kate Hoey,Labour,"Appointment to the European University Institute, Florence",Resignation,Opposition Defence
1987,Glasgow Central,1989-06-15,Bob McTaggart,Labour,Labour,Mike Watson,Labour,Death (heart attack),Death,Opposition Defence
1987,Staffordshire Mid,1990-03-22,John Heddle,Conservative,Conservative,Sylvia Heal,Labour,Death (suicide),Death,Opposition Gain
1987,Upper Bann,1990-05-17,Harold McCusker,Ulster Unionist Party,Ulster Unionist Party,David Trimble,Ulster Unionist Party,Death (cancer),Death,Opposition Defence
1987,Bootle,1990-05-24,Allan Roberts,Labour,Labour,Michael Carr,Labour,Death (cancer),Death,Opposition Defence
1987,Knowsley South,1990-09-27,Sean Hughes,Labour,Labour,Edward O'Hara,Labour,Death (cancer),Death,Opposition Defence
1987,Eastbourne,1990-10-18,Ian Gow,Conservative,Conservative,David Bellotti,Liberal Democrats,Death (terrorism),Death,Opposition Gain
1987,Bootle,1990-11-08,Michael Carr,Labour,Labour,Joseph Benton,Labour,Death (heart attack),Death,Opposition Defence
1987,Bradford North,1990-11-08,Pat Wall,Labour,Labour,Terry Rooney,Labour,Death (long illness),Death,Opposition Defence
1987,Paisley North,1990-11-29,Allen Adams,Labour,Labour,Irene Adams,Labour,Death (brain haemorrhage),Death,Opposition Defence
1987,Paisley South,1990-11-29,Norman Buchan,Labour,Labour,Gordon McMaster,Labour,Death,Death,Opposition Defence
1987,Ribble Valley,1991-03-07,David Waddington,Conservative,Conservative,Michael Carr,Liberal Democrats,Life peerage on appointment as Leader of the House of Lords,Peerage,Opposition Gain
1987,Neath,1991-04-04,Donald Coleman,Labour,Labour,Peter Hain,Labour,Death,Death,Opposition Defence
1987,Monmouth,1991-05-16,Sir John Stradling Thomas,Conservative,Conservative,Huw Edwards,Labour,Death,Death,Opposition Gain
1987,Liverpool Walton,1991-07-04,Eric Heffer,Labour,Labour,Peter Kilfoyle,Labour,Death (cancer),Death,Opposition Defence
1987,Langbaurgh,1991-11-07,Richard Holt,Conservative,Conservative,Ashok Kumar,Labour,Death,Death,Opposition Gain
1987,Hemsworth,1991-11-07,George Buckley,Labour,Labour,Derek Enright,Labour,Death,Death,Opposition Defence
1987,Kincardine and Deeside,1991-11-07,Alick Buchanan-Smith,Conservative,Conservative,Nicol Stephen,Liberal Democrats,Death,Death,Opposition Gain
1992,Newbury,1993-05-06,Judith Chaplin,Conservative,Conservative,David Rendel,Liberal Democrats,Death (complications following surgery),Death,Opposition Gain
1992,Christchurch,1993-07-29,Robert Adley,Conservative,Conservative,Diana Maddock,Liberal Democrats,Death (heart attack),Death,Opposition Gain
1992,Rotherham,1994-05-05,Jimmy Boyce,Labour,Labour,Denis MacShane,Labour,Death (heart attack),Death,Opposition Defence
1992,Barking,1994-06-09,Jo Richardson,Labour,Labour,Margaret Hodge,Labour,Death (long illness),Death,Opposition Defence
1992,Dagenham,1994-06-09,Bryan Gould,Labour,Labour,Judith Church,Labour,"Appointment as Vice-Chancellor of the University of Waikato, New Zealand",Resignation,Opposition Defence
1992,Eastleigh,1994-06-09,Ron Leighton,Labour,Labour,Stephen Timms,Labour,Death,Death,Opposition Defence
1992,Newham North East,1994-06-09,Stephen Milligan,Conservative,Conservative,David Chidgey,Liberal Democrats,Death (auto-erotic asphyxiation),Death,Opposition Gain
1992,Bradford South,1994-06-09,Bob Cryer,Labour,Labour,Gerry Sutcliffe,Labour,Death (road accident),Death,Opposition Defence
1992,Monklands East,1994-06-30,John Smith,Labour,Labour,Helen Liddell,Labour,Death (heart attack),Death,Opposition Defence
1992,Dudley West,1994-12-15,John Blackburn,Conservative,Conservative,Ian Pearson,Labour,Death (heart attack),Death,Opposition Gain
1992,Islwyn,1995-02-16,Neil Kinnock,Labour,Labour,Don Touhig,Labour,Appointment as European Commissioner,Appointment,Opposition Defence
1992,Perth and Kinross,1995-05-25,Sir Nicholas Fairbairn,Conservative,Conservative,Roseanna Cunningham,SNP,Death (liver cirrhosis),Death,Opposition Gain
1992,Down North,1995-06-15,Sir James Kilfedder,Independent,UPUP,Robert McCartney,United Kingdom Unionist Party,Death (heart attack),Death,Opposition Defence
1992,Littleborough and Saddleworth,1995-07-27,Geoffrey Dickens,Conservative,Conservative,Chris Davies,Liberal Democrats,Death (long illness),Death,Opposition Gain
1992,Hemsworth,1996-02-01,Derek Enright,Labour,Labour,Jon Trickett,Labour,Death (cancer),Death,Opposition Defence
1992,Staffordshire South East,1996-04-11,Sir David Lightbown,Conservative,Conservative,Brian Jenkins,Labour,Death (heart attack),Death,Opposition Gain
1992,Barnsley East,1996-12-12,Terry Patchett,Labour,Labour,Jeff Ennis,Labour,Death (cancer),Death,Opposition Defence
1992,Wirral South,1997-02-27,Barry Porter,Conservative,Conservative,Ben Chapman,Labour,Death (cancer),Death,Opposition Gain
1997,Uxbridge,1997-07-31,Sir Michael Shersby,Conservative,Conservative,John Randall,Conservative,Death (heart attack),Death,Opposition Defence
1997,Paisley South,1997-11-06,Gordon McMaster,Labour,Labour,Douglas Alexander,Labour,Death (suicide),Death,Government Defence
1997,Beckenham,1997-11-20,Piers Merchant,Conservative,Conservative,Jacqui Lait,Conservative,Resignation (scandal),Resignation,Opposition Defence
1997,Winchester,1997-11-20,Mark Oaten,Liberal Democrats,Liberal Democrats,Mark Oaten,Liberal Democrats,Void election,Disqualified / Expelled,Opposition Defence
1997,Leeds Central,1999-06-10,Derek Fatchett,Labour,Labour,Hilary Benn,Labour,Death (heart attack),Death,Government Defence
1997,Eddisbury,1999-07-22,Alastair Goodlad,Conservative,Conservative,Stephen O'Brien,Conservative,Appointment as High Commissioner to Australia,Appointment,Opposition Defence
1997,Hamilton South,1999-09-23,George Robertson,Labour,Labour,Bill Tynan,Labour,Life peerage upon appointment as Secretary-General of NATO,Peerage,Government Defence
1997,Wigan,1999-09-23,Roger Stott,Labour,Labour,Neil Turner,Labour,Death (long illness),Death,Government Defence
1997,Kensington and Chelsea,1999-11-25,Alan Clark,Conservative,Conservative,Michael Portillo,Conservative,Death (cancer),Death,Opposition Defence
1997,Ceredigion,2000-02-03,Cynog Dafis,Plaid Cymru,Plaid Cymru,Simon Thomas,Plaid Cymru,Resignation following election to the Welsh Assembly,Alternative office,Opposition Defence
1997,Romsey,2000-05-04,Michael Colvin,Conservative,Conservative,Sandra Gidley,Liberal Democrats,Death (accidental fire),Death,Opposition Gain
1997,Tottenham,2000-06-22,Bernie Grant,Labour,Labour,David Lammy,Labour,Death (heart attack),Death,Government Defence
1997,Antrim South,2000-09-21,Clifford Forsythe,Ulster Unionist Party,Ulster Unionist Party,William McCrea,DUP,Death (sudden illness),Death,Opposition Gain
1997,West Bromwich West,2000-11-23,Betty Boothroyd,Speaker,Speaker,Adrian Bailey,Labour,Life peerage,Peerage,Government Gain
1997,Glasgow Anniesland,2000-11-23,Donald Dewar,Labour,Labour,John Robertson,Labour,Death (Brain haemorrhage after heart surgery),Death,Government Defence
1997,Preston,2000-11-23,Audrey Wise,Labour,Labour,Mark Hendrick,Labour,Death (cancer),Death,Government Defence
1997,Falkirk West,2000-12-21,Dennis Canavan,Labour,Independent,Eric Joyce,Labour,Resignation in order to concentrate on his role as a Member of the Scottish Parliament,Alternative office,Government Defence
2001,Ipswich,2001-11-22,Jamie Cann,Labour,Labour,Chris Mole,Labour,Death (liver disease),Death,Government Defence
2001,Ogmore,2002-02-14,Sir Raymond Powell,Labour,Labour,Huw Irranca-Davies,Labour,Death (unknown; probable asthma attack),Death,Government Defence
2001,Brent East,2003-09-18,Paul Daisley,Labour,Labour,Sarah Teather,Liberal Democrats,Death (cancer),Death,Opposition Gain
2001,Birmingham Hodge Hill,2004-07-15,Terry Davis,Labour,Labour,Liam Byrne,Labour,Resignation on appointment as Secretary-General of the Council of Europe,Appointment,Government Defence
2001,Leicester South,2004-07-15,Jim Marshall,Labour,Labour,Parmjit Singh Gill,Liberal Democrats,Death (heart attack),Death,Opposition Gain
2001,Hartlepool,2004-09-30,Peter Mandelson,Labour,Labour,Iain Wright,Labour,Resignation on appointment as European Commissioner,Appointment,Government Defence
2005,Cheadle,2005-07-14,Patsy Calton,Liberal Democrats,Liberal Democrats,Mark Hunter,Liberal Democrats,Death (cancer),Death,Opposition Defence
2005,Livingston,2005-09-29,Robin Cook,Labour,Labour,Jim Devine,Labour,Death (heart disease),Death,Government Defence
2005,Dunfermline and West Fife,2006-02-09,Rachel Squire,Labour,Labour,Willie Rennie,Liberal Democrats,Death (cancer/stroke),Death,Opposition Gain
2005,Bromley and Chislehurst,2006-06-29,Eric Forth,Conservative,Conservative,Bob Neill,Conservative,Death (cancer),Death,Opposition Defence
2005,Blaenau Gwent,2006-06-29,Peter Law,Independent,Independent,Dai Davies,Independent,Death (cancer),Death,Opposition Defence
2005,Ealing Southall,2007-07-19,Piara Khabra,Labour,Labour,Virendra Sharma,Labour,Death (liver problems),Death,Government Defence
2005,Sedgefield,2007-07-19,Tony Blair,Labour,Labour,Phil Wilson,Labour,Resignation on appointment as Middle East Envoy,Resignation,Government Defence
2005,Crewe and Nantwich,2008-05-22,Gwyneth Dunwoody,Labour,Labour,Edward Timpson,Conservative,Death (heart attack),Death,Opposition Gain
2005,Henley,2008-06-26,Boris Johnson,Conservative,Conservative,John Howell,Conservative,Election as Mayor of London,Alternative office,Opposition Defence
2005,Haltemprice and Howden,2008-07-10,David Davis,Conservative,Conservative,David Davis,Conservative,Resigned to recontest,Reelection,Opposition Defence
2005,Glasgow East,2008-07-24,David Marshall,Labour,Labour,John Mason,SNP,Resignation due to ill health,Resignation,Opposition Gain
2005,Glenrothes,2008-11-06,John MacDougall,Labour,Labour,Lindsay Roy,Labour,Death (mesothelioma),Death,Government Defence
2005,Norwich North,2009-07-23,Ian Gibson,Labour,Labour,Chloe Smith,Conservative,Resignation,Resignation,Opposition Gain
2005,Glasgow North East,2009-11-12,Michael Martin,Speaker,Speaker,Willie Bain,Labour,Resignation,Resignation,Government Gain
2010,Oldham East and Saddleworth,2011-01-13,Phil Woolas,Labour,Labour,Debbie Abrahams,Labour,Void election; reported personally guilty of false statements of fact concerning a candidate.,Disqualified / Expelled,Opposition Defence
2010,Barnsley Central,2011-03-03,Eric Illsley,Labour,Labour,Dan Jarvis,Labour,Resignation (pleaded guilty to charges of false accounting stemming from the United Kingdom Parliamentary expenses scandal),Resignation,Opposition Defence
2010,Leicester South,2011-05-05,Peter Soulsby,Labour,Labour,Jon Ashworth,Labour,Resignation (to contest the mayoralty of Leicester),Alternative office,Opposition Defence
2010,Belfast West,2011-06-09,Gerry Adams,Sinn Féin,Sinn Féin,Paul Maskey,Sinn Féin,Resignation (to contest the Louth constituency in the Irish general election),Alternative office,Opposition Defence
2010,Inverclyde,2011-06-30,David Cairns,Labour,Labour,Iain McKenzie,Labour,Death (pancreatitis),Death,Opposition Defence
2010,Feltham and Heston,2011-12-15,Alan Keen,Labour,Labour,Seema Malhotra,Labour,Death (cancer),Death,Opposition Defence
2010,Bradford West,2012-03-29,Marsha Singh,Labour,Labour,George Galloway,Respect,Resignation (serious health problems),Resignation,Opposition Gain
2010,Cardiff South and Penarth,2012-11-15,Louise Mensch,Conservative,Conservative,Andy Sawford,Labour,Resignation for family reasons,Resignation,Opposition Gain
2010,Manchester Central,2012-11-15,Tony Lloyd,Labour,Labour,Lucy Powell,Labour,Resignation to contest Greater Manchester Police and Crime Commissioner election,Alternative office,Opposition Defence
2010,Corby,2012-11-15,Alun Michael,Labour,Labour,Stephen Doughty,Labour,Resignation to contest South Wales Police and Crime Commissioner election,Alternative office,Opposition Defence
2010,Rotherham,2012-11-29,Denis MacShane,Labour,Labour,Sarah Champion,Labour,Resignation (following recommendation from the Standards and Privileges Committee that he be suspended for 12 months for submitting false expenses invoices stemming from the United Kingdom Parliamentary expenses scandal),Resignation,Opposition Defence
2010,Middlesbrough,2012-11-29,Stuart Bell,Labour,Labour,Andy McDonald,Labour,Death (cancer),Death,Opposition Defence
2010,Croydon North,2012-11-29,Malcolm Wicks,Labour,Labour,Steve Reed,Labour,Death (cancer),Death,Opposition Defence
2010,Eastleigh,2013-02-28,Chris Huhne,Liberal Democrats,Liberal Democrats,Mike Thornton,Liberal Democrats,Resignation following pleading guilty to perverting the course of justice,Resignation,Government Defence
2010,Ulster Mid,2013-03-07,Martin McGuinness,Sinn Féin,Sinn Féin,Francie Molloy,Sinn Féin,Resignation to end 'double-jobbing' as Member of Parliament and Member of the Northern Ireland Assembly,Alternative office,Opposition Defence
2010,South Shields,2013-05-02,David Miliband,Labour,Labour,Emma Lewell-Buck,Labour,Resignation to join International Rescue Committee,Resignation,Opposition Defence
2010,Wythenshawe and Sale East,2014-02-13,Paul Goggins,Labour,Labour,Mike Kane,Labour,Death (stroke/haemorrhage),Death,Opposition Defence
2010,Newark,2014-06-05,Patrick Mercer,Conservative,Conservative,Robert Jenrick,Conservative,Resignation (following recommendation from the Standards Committee that he be suspended for six months for breach of the paid advocacy rule),Resignation,Government Defence
2010,Clacton,2014-10-09,Jim Dobbin,Labour,Labour,Liz McInnes,Labour,Death (acute alcohol toxicity with food aspiration),Death,Opposition Defence
2010,Heywood and Middleton,2014-10-09,Douglas Carswell,Conservative,Conservative,Douglas Carswell,UK Independence Party (UKIP),Sought re-election upon change of party allegiance,Reelection,Opposition Gain
2010,Rochester and Strood,2014-11-20,Mark Reckless,Conservative,Conservative,Mark Reckless,UK Independence Party (UKIP),Sought re-election upon change of party allegiance,Reelection,Opposition Gain
2015,Oldham West and Royton,2015-12-03,Michael Meacher,Labour,Labour,Jim McMahon,Labour,Death (short illness).,Death,Opposition Defence
2015,Sheffield Brightside and Hillsborough,2016-05-05,Harry Harpham,Labour,Labour,Gill Furniss,Labour,Death (cancer).,Death,Opposition Defence
2015,Ogmore,2016-05-05,Huw Irranca-Davies,Labour,Labour,Christopher Elmore,Labour,Resignation to contest the Welsh Assembly election.,Alternative office,Opposition Defence
2015,Tooting,2016-06-16,Sadiq Khan,Labour,Labour,Rosena Allin-Khan,Labour,Resignation upon his election as Mayor of London.,Alternative office,Opposition Defence
2015,Batley and Spen,2016-10-20,Jo Cox,Labour,Labour,Tracy Brabin,Labour,Death (murder).,Death,Opposition Defence
2015,Witney,2016-10-20,David Cameron,Conservative,Conservative,Robert Courts,Conservative,Resignation as an MP two months after resigning as Prime Minister and Leader of Conservative Party.,Resignation,Government Defence
2015,Richmond Park,2016-12-01,Zac Goldsmith,Conservative,Conservative,Sarah Olney,Liberal Democrats,Sought reelection as an Independent in opposition to the government's decision on the expansion of Heathrow Airport.,Reelection,Opposition Gain
2015,Sleaford and North Hykeham,2016-12-08,Stephen Phillips,Conservative,Conservative,Caroline Johnson,Conservative,Resignation citing irreconcilable differences with the government.,Resignation,Government Defence
2015,Copeland,2017-02-23,Jamie Reed,Labour,Labour,Trudy Harrison,Conservative,Resignation to take up his new role in the nuclear power industry.,Resignation,Government Gain
2015,Stoke-on-Trent Central,2017-02-23,Tristram Hunt,Labour,Labour,Gareth Snell,Labour,Resignation to take up his new role as head of the Victoria and Albert Museum.,Resignation,Opposition Defence
2017,Tyrone West,2018-05-03,Barry McElduff,Sinn Féin,Sinn Féin,Órfhlaith Begley,Sinn Féin,Resignation after making a joke about the Kingsmill massacre on social media.,Resignation,Opposition Defence
2017,Lewisham East,2018-06-14,Heidi Alexander,Labour,Labour,Janet Daby,Labour,Resignation on appointment as Deputy Mayor of London.,Appointment,Opposition Defence
2017,Newport West,2019-04-04,Paul Flynn,Labour,Labour,Ruth Jones,Labour,Death (long illness).,Death,Opposition Defence
2017,Peterborough,2019-06-06,Fiona Onasanya,Labour,Labour,Lisa Forbes,Labour,"Successful recall petition via the provisions of the Recall of MPs Act 2015, after Onasanya's conviction for perverting the course of justice, in relation to a motoring offence.",Recall,Opposition Defence
